0;0
2;5
3;6
4;7
2;10
1;11
3;12
4;13
8;16
9;17
2;18
3;19
4;20
14;22
15;23
8;25
9;26
2;27
3;28
4;29
21;30
14;31
15;32
24;33
8;34
9;35
2;36
3;37
21;38
14;39
15;40
24;42
8;43
9;44
2;45
3;46
4;47
21;48
14;49
15;50
41;51
24;52
8;53
9;54
2;55
3;56
21;57
14;58
41;59
24;60
9;61
2;62
3;63
4;64
21;65
14;66
15;67
41;68
24;69
8;70
9;71
2;72
4;73
21;74
14;75
15;76
41;77
24;78
1;79
3;80
21;81
15;82
41;83
8;84
9;85
2;86
24;87
9;88
4;89
41;90
24;91
8;92
21;93
14;94
41;95
8;96
15;97
24;98
2;99
21;100
14;101
41;102
9;103
1;104
24;105
1;106
107;110
108;112
109;113
107;115
111;118
108;119
114;120
107;121
116;124
117;126
111;127
108;128
109;129
114;130
107;131
122;132
123;133
116;134
125;135
117;136
111;137
108;138
109;139
114;140
107;141
122;142
123;143
116;144
125;145
117;146
111;147
108;148
109;149
114;150
107;151
122;152
123;153
116;154
125;155
117;156
111;157
108;158
109;159
122;160
123;161
116;162
125;163
111;164
109;165
114;166
107;167
122;168
123;169
116;170
125;171
117;172
111;173
108;174
109;175
114;176
122;177
123;178
116;179
125;180
117;181
111;182
108;183
114;184
122;185
123;186
111;187
109;188
125;190
117;191
114;192
122;193
116;194
108;195
122;196
123;197
125;198
109;199
116;200
108;201
122;202
117;203
111;204
109;205
208;209
208;210
211;217
212;218
208;220
213;221
214;222
215;224
216;225
211;226
212;227
219;228
208;229
213;230
214;232
223;233
215;234
216;235
211;236
212;237
219;238
208;239
213;240
231;241
214;242
223;243
215;244
216;245
211;246
212;247
219;248
208;249
213;250
231;251
214;252
223;253
215;254
216;255
211;256
208;257
231;258
214;259
223;260
215;261
216;262
211;263
212;264
219;265
213;266
231;267
214;268
223;269
211;270
208;271
231;272
223;273
215;274
216;275
219;276
208;277
213;278
231;279
214;280
215;281
216;282
211;283
212;284
213;285
231;286
214;287
223;288
211;289
208;290
223;291
215;292
219;293
215;294
231;295
216;296
211;297
208;298
231;299
214;300
223;301
211;302
231;303
223;304
216;305
